,identifiers,country,gender,age,stratum,education,efficacy1,efficacy2,efficacy3,efficacy4,efficacy5,efficacy6,efficacy7,efficacy8,PVMATH1,PVMATH2,PVMATH3,PVMATH4,PVMATH5
1884,NLD5280000NLD00021052800000007601885,NLD,1.0,15.33,2.0,6,3.0,2.0,1.0,2.0,2.0,3.0,2.0,3.0,535.4494,537.7863,510.5234,517.5339,586.8593
1885,NLD5280000NLD00021052800000007601886,NLD,2.0,15.25,2.0,6,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,736.4153,674.1003,646.8375,684.2265,684.2265
1886,NLD5280000NLD00021052800000007601887,NLD,1.0,15.75,2.0,6,2.0,1.0,1.0,1.0,2.0,2.0,1.0,3.0,565.127,576.811,589.274,572.1374,594.7266
1887,NLD5280000NLD00021052800000007601888,NLD,1.0,15.83,2.0,6,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,665.1425,672.153,648.7849,612.1748,630.8693
1888,NLD5280000NLD00021052800000007601889,NLD,2.0,15.42,2.0,6,2.0,2.0,2.0,2.0,1.0,1.0,2.0,3.0,559.5186,588.3393,577.4342,587.5604,594.5708
1889,NLD5280000NLD00021052800000007601890,NLD,2.0,15.5,2.0,6,3.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,562.7902,552.664,583.8215,570.5795,577.59
1890,NLD5280000NLD00021052800000007601891,NLD,1.0,16.08,2.0,6,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,512.6266,507.174,518.8581,498.6057,502.5004
1891,NLD5280000NLD00021052800000007701892,NLD,1.0,15.83,2.0,6,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,468.6166,486.5322,446.8064,470.9534,509.1214
1892,NLD5280000NLD00021052800000007701893,NLD,1.0,15.33,2.0,6,2.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,528.0495,489.8816,461.0609,474.3029,443.1453
1893,NLD5280000NLD00021052800000007701894,NLD,1.0,15.5,2.0,6,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,469.8629,462.0735,474.5365,498.6836,468.305
1894,NLD5280000NLD00021052800000007701895,NLD,2.0,15.33,2.0,6,2.0,1.0,1.0,2.0,2.0,2.0,3.0,2.0,649.0964,634.2966,649.0964,618.7179,654.549
1895,NLD5280000NLD00021052800000007701896,NLD,1.0,15.33,2.0,6,2.0,2.0,3.0,2.0,2.0,3.0,2.0,3.0,554.1439,526.8811,520.6496,540.902,551.0282
1896,NLD5280000NLD00021052800000007701897,NLD,1.0,15.92,2.0,6,1.0,2.0,3.0,4.0,3.0,2.0,1.0,2.0,432.4739,455.842,421.5688,429.3582,431.695
1897,NLD5280000NLD00021052800000007701898,NLD,2.0,15.67,2.0,6,4.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,538.5652,536.2284,522.9864,537.7863,538.5652
1898,NLD5280000NLD00021052800000007701899,NLD,1.0,15.67,2.0,6,2.0,1.0,3.0,2.0,1.0,2.0,3.0,3.0,508.8877,500.3194,543.1609,457.4778,567.308
1899,NLD5280000NLD00021052800000007701900,NLD,2.0,15.33,2.0,6,2.0,1.0,1.0,2.0,2.0,2.0,3.0,2.0,635.5429,588.8067,596.596,663.5847,591.9224
1900,NLD5280000NLD00021052800000007701901,NLD,1.0,15.33,2.0,6,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,560.2197,561.7775,532.9568,518.157,524.3885
1901,NLD5280000NLD00021052800000007701902,NLD,1.0,15.58,2.0,6,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,541.2136,527.9716,545.1083,562.2449,525.6348
1902,NLD5280000NLD00021052800000007701903,NLD,1.0,15.33,2.0,6,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,561.7775,561.7775,595.2718,533.7358,571.1248
1903,NLD5280000NLD00021052800000007701904,NLD,1.0,16.0,2.0,6,2.0,1.0,2.0,1.0,1.0,2.0,1.0,3.0,565.7501,571.2027,512.7824,547.0556,555.6239
1904,NLD5280000NLD00021052800000007701905,NLD,1.0,15.5,2.0,6,2.0,1.0,3.0,2.0,3.0,3.0,2.0,3.0,570.4237,593.0129,568.8659,550.9503,598.4655
1905,NLD5280000NLD00021052800000007701906,NLD,1.0,15.33,2.0,6,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,503.2793,530.5421,536.7736,526.6475,518.0791
1906,NLD5280000NLD00021052800000007701907,NLD,2.0,16.0,2.0,6,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,519.1697,542.5378,482.5596,486.4543,484.1175
1907,NLD5280000NLD00021052800000007701908,NLD,1.0,16.0,2.0,6,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,516.7549,512.8603,573.6174,558.0386,533.1126
1908,NLD5280000NLD00021052800000007801909,NLD,1.0,15.33,2.0,6,3.0,1.0,2.0,3.0,1.0,3.0,1.0,3.0,574.3184,606.2549,609.3706,645.9807,607.0338
1909,NLD5280000NLD00021052800000007801910,NLD,1.0,15.75,2.0,6,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,573.5395,575.0974,608.5917,597.6866,618.7179
1910,NLD5280000NLD00021052800000007801911,NLD,1.0,15.42,2.0,6,2.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,582.8088,580.472,606.9559,635.7766,601.5033
1911,NLD5280000NLD00021052800000007801912,NLD,1.0,15.83,2.0,6,2.0,1.0,2.0,3.0,1.0,2.0,2.0,3.0,571.2806,635.9324,614.9011,586.8593,579.8489
1912,NLD5280000NLD00021052800000007801913,NLD,2.0,15.58,2.0,6,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,642.3197,565.2049,586.2362,590.9098,594.8045
1913,NLD5280000NLD00021052800000007801914,NLD,1.0,15.25,2.0,6,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,547.4451,535.761,549.003,545.1083,569.2553
1914,NLD5280000NLD00021052800000007801915,NLD,2.0,16.17,2.0,6,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,659.1447,619.4189,638.8924,638.8924,660.7026
1915,NLD5280000NLD00021052800000007801916,NLD,1.0,15.42,2.0,6,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,584.3667,585.1457,575.0195,606.177,603.0612
1916,NLD5280000NLD00021052800000007801917,NLD,1.0,15.33,2.0,6,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,669.7383,693.8853,711.022,716.4745,708.6852
1917,NLD5280000NLD00021052800000007801918,NLD,2.0,15.5,2.0,6,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,627.3641,575.1753,607.1117,635.1535,618.0168
1918,NLD5280000NLD00021052800000007801919,NLD,2.0,15.42,2.0,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,694.119,683.9928,661.4036,664.5194,674.6456
1919,NLD5280000NLD00021052800000007801920,NLD,2.0,16.0,2.0,6,2.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,619.8863,651.8227,618.3284,604.3075,608.2022
